Parameter | Type | Short Description | 中文說明
ContractStatusChangeDate | DateTime | Date when the listing contract status changed | 掛牌合約狀態發生變更的日期。

ElementarySchoolDistrict | String | Elementary school district associated with the property | 房屋所屬的小學學區。

CoBuyerAgentFirstName | String | First name of the co-buyer's agent | 共同買方仲介的名字。

PurchaseContractDate | DateTime | Date when an offer was accepted or purchase contract was formed | 買方出價被接受或購買合約成立的日期。

ListingContractDate | DateTime | Effective date of the listing agreement | 賣方與掛牌仲介合約開始生效的日期。

BelowGradeFinishedArea | Decimal | Finished area within the structure that is below ground | 位於地面以下且已完工的空間面積，例如地下室。

BusinessType | Enum | Type of business associated with the property, if applicable | 若房產與商業用途相關，此欄記錄其商業類型。

StateOrProvince | Enum/String | State or province postal abbreviation | 房屋所在州或省的郵政縮寫。

CoveredSpaces | Decimal | Total number of covered garage and carport spaces | 有遮蔽的停車位數量，包含車庫與車棚。

MiddleOrJuniorSchool | String | Middle or junior school associated with the property | 房屋所屬學區對應的國中或初中名稱。

FireplaceYN | Boolean | Indicates whether the property includes a fireplace | 標記房屋是否有壁爐。

Stories | Int32 | Number of floors in the property | 房屋樓層數。

HighSchool | String | High school associated with the property | 房屋所屬學區對應的高中名稱。

Levels | Enum | Number or configuration of levels in the property | 房屋樓層配置，例如單層、雙層或多層。

LotSizeDimensions | String | Lot dimensions such as length and width | 土地尺寸描述，例如長寬或地界形狀。

LotSizeArea | Decimal | Total lot area; unit depends on lot size units | 土地總面積，實際單位需搭配資料中的面積單位判斷。

MainLevelBedrooms | Int32 | Number of bedrooms on the main or entry level | 主樓層或入口樓層的臥室數量。

NewConstructionYN | Boolean | Indicates whether the property is newly constructed | 標記房屋是否為新建案或尚未被居住過。

GarageSpaces | Decimal | Number of garage spaces | 車庫可停放車輛的數量。

HighSchoolDistrict | String | High school district associated with the property | 房屋所屬的高中學區。

PostalCode | String | ZIP or postal code of the property | 房屋所在地的郵遞區號。

AssociationFee | Decimal | Homeowners association fee amount (USD) | HOA 管理費金額，單位為美元。

LotSizeSquareFeet | Decimal | Total lot size in square feet (sq ft) | 土地總面積，以平方英尺表示。

MiddleOrJuniorSchoolDistrict | String | Middle or junior school district associated with the property | 房屋所屬的國中或初中學區。
