Flooring,ViewYN,WaterfrontYN,BasementYN,PoolPrivateYN,OriginalListPrice,ListingKey,CloseDate,ClosePrice,Latitude,Longitude,UnparsedAddress,PropertyType,LivingArea,ListPrice,DaysOnMarket,ListOfficeName,AssociationFeeFrequency,ListingKeyNumeric,MLSAreaMajor,CountyOrParish,MlsStatus,AttachedGarageYN,ParkingTotal,PropertySubType,LotSizeAcres,YearBuilt,StreetNumberNumeric,ListingId,BathroomsTotalInteger,City,BedroomsTotal,ContractStatusChangeDate,PurchaseContractDate,ListingContractDate,StateOrProvince,FireplaceYN,Stories,Levels,LotSizeArea,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,PostalCode,AssociationFee,LotSizeSquareFeet,CloseMonth
"Laminate,Tile,Wood",True,False,False,False,1688888.0,1109050136,2025-05-05,1638000.0,37.39330037,-121.86263375,2605 Sierra Road,Residential,1667.0,1638888.0,17,Intero Real Estate Services,None,1109050136.0,699 - Not Defined,Santa Clara,Closed,True,2,SingleFamilyResidence,0.1377,1973,2605.0,ML81998452,2,San Jose,3,2025-05-05,2025-04-07,2025-03-21,CA,True,1,Unknown,6000.0,3,False,2,Other,95132,0.0,6000.0,2025-05
Unknown,True,False,False,False,2429000.0,1075108648,2024-06-18,2429000.0,32.9216138,-117.1047518,11325 Ravensthorpe Way,Residential,3678.0,2429000.0,11,Choosit Realty,Monthly,1075108648.0,92131 - Scripps Miramar,San Diego,Closed,True,7,SingleFamilyResidence,0.1664,2001,11325.0,240010456SD,4,San Diego,5,2024-06-18,2024-05-23,2024-05-10,CA,True,2,Two,7102.0,3,False,3,Unknown,92131,45.0,7249.0,2024-06
Tile,True,False,False,False,420000.0,1052383911,2024-04-05,395000.0,33.734672,-116.23086,82165 Lemon Grove Avenue,Residential,1404.0,420000.0,24,C 21 Coachella Valley RE,None,1052383911.0,699 - Not Defined,Riverside,Closed,True,4,SingleFamilyResidence,0.16,1968,82165.0,219104109DA,2,Indio,4,2024-04-05,2024-03-01,2023-12-14,CA,False,1,One,6969.0,3,False,2,Unknown,92201,0.0,6969.0,2024-04
"Carpet,Vinyl",False,False,False,False,629999.0,1061677351,2024-06-07,610000.0,33.9495509,-117.3943048,6715 De Anza Avenue,Residential,1272.0,609999.0,60,eXp Realty of Southern California,None,1061677351.0,252 - Riverside,Riverside,Closed,True,2,SingleFamilyResidence,0.15,1952,6715.0,IG24038748,1,Riverside,3,2024-06-07,2024-05-07,2024-02-25,CA,False,1,One,6534.0,3,False,2,Riverside Unified,92506,0.0,6534.0,2024-06
"Tile,Wood",True,False,False,True,3995000.0,1077686909,2024-08-30,4400000.0,33.397354,-117.59736,3857 Calle Del Establo,Residential,3336.0,3995000.0,13,Grand Avenue Realty & Lending,Monthly,1077686909.0,SW - San Clemente Southwest,Orange,Closed,True,3,SingleFamilyResidence,0.1655,1987,3857.0,OC24148055,3,San Clemente,4,2024-08-30,2024-08-01,2024-07-18,CA,True,2,Two,7210.0,1,False,3,Capistrano Unified,92672,468.0,7210.0,2024-08
"Laminate,Tile",False,False,False,False,615000.0,1154765312,2026-04-16,615000.0,37.98292067,-121.84297082,3828 Killdeer Dr,Residential,1485.0,615000.0,11,Real Broker,None,1154765312.0,Unknown,Contra Costa,Closed,True,2,SingleFamilyResidence,0.2112,1986,3828.0,41126425,2,Antioch,3,2026-04-16,2026-03-18,2026-03-07,CA,True,1,MultiSplit,9200.0,3,False,2,Unknown,94509,0.0,9200.0,2026-04
Laminate,True,False,False,False,799000.0,1155925282,2026-04-09,850000.0,35.321721000000004,-120.830248,1635 12th,Residential,1064.0,799000.0,4,Central Coast Sotheby's International Realty,None,1155925282.0,OSOS - Los Osos,San Luis Obispo,Closed,True,2,SingleFamilyResidence,0.1076,1977,1635.0,SC26047437,2,Los Osos,3,2026-04-09,2026-03-30,2026-03-18,CA,False,1,One,4687.0,3,False,2,San Luis Coastal Unified,93402,0.0,4687.0,2026-04
Unknown,True,False,False,False,899000.0,1077062782,2024-08-27,915000.0,33.820036,-117.931227,1412 W Beacon Avenue,Residential,1295.0,899000.0,25,Compass,None,1077062782.0,79 - Anaheim West of Harbor,Orange,Closed,True,2,SingleFamilyResidence,0.172,1954,1412.0,24410985,2,Anaheim,4,2024-08-27,2024-08-02,2024-07-08,CA,False,1,One,7493.0,3,False,2,Unknown,92802,0.0,7493.0,2024-08
"Tile,Vinyl",True,False,False,False,999000.0,1041761032,2023-12-05,1150000.0,35.0101,-120.487953,1520 Cielo Lane,Residential,2971.0,999000.0,9,Invest SLO,None,1041761032.0,NPMO - Nipomo,San Luis Obispo,Closed,False,11,SingleFamilyResidence,0.84,1963,1520.0,PI23153208,5,Nipomo,6,2023-12-05,2023-08-26,2023-08-08,CA,True,1,One,36590.0,6,False,2,Lucia Mar Unified,93444,0.0,36590.0,2023-12
Unknown,False,False,False,True,999000.0,1060179048,2024-03-12,1050000.0,32.779779,-116.929637,1148 Lostinda Street,Residential,1938.0,999000.0,3,Strexin Real Estate,None,1060179048.0,92019 - El Cajon,San Diego,Closed,True,2,SingleFamilyResidence,0.4821,1979,1148.0,NDP2401029,3,El Cajon,5,2024-03-12,2024-02-10,2024-02-06,CA,True,2,Two,21000.0,1,False,2,Cajon Valley Union,92019,0.0,21000.0,2024-03
Laminate,True,False,False,False,1395000.0,1109333951,2025-05-22,1510000.0,37.07374332,-121.60811872,205 Highland Avenue,Residential,1989.0,1395000.0,9,Intero  R E Services,None,1109333951.0,699 - Not Defined,Santa Clara,Closed,True,2,SingleFamilyResidence,2.36,1979,205.0,ML81999890,2,San Martin,3,2025-05-22,2025-04-05,2025-03-27,CA,True,1,Unknown,102801.0,3,False,2,Other,95046,0.0,102801.0,2025-05
Wood,False,False,False,False,1999000.0,1139891622,2025-12-01,1999000.0,34.001699,-118.462763,980 Vernon Avenue,Residential,1563.0,1999000.0,17,Compass,None,1139891622.0,C11 - Venice,Los Angeles,Closed,True,2,SingleFamilyResidence,0.1351,1956,980.0,25606147,3,Venice,2,2025-12-01,2025-10-31,2025-10-14,CA,True,1,One,5886.0,3,False,2,Unknown,90291,0.0,5886.0,2025-12
Wood,True,False,False,False,590000.0,1078766977,2024-09-04,601000.0,33.924157,-117.494026,11246 Collin Street,Residential,1756.0,590000.0,9,KELLER WILLIAMS RIVERSIDE CENT,Monthly,1078766977.0,252 - Riverside,Riverside,Closed,True,2,SingleFamilyResidence,0.06,2012,11246.0,IV24150913,3,Riverside,4,2024-09-04,2024-08-02,2024-07-18,CA,False,2,Two,2614.0,0,False,2,Alvord Unified,92505,205.0,2614.0,2024-09
Carpet,True,False,True,False,4350000.0,1156795259,2026-04-20,4350000.0,37.43479823,-122.43909188,17 Ashdown Place,Residential,5000.0,4350000.0,10,Compass,Quarterly,1156795259.0,699 - Not Defined,San Mateo,Closed,True,3,SingleFamilyResidence,0.3315,1994,17.0,ML82041595,4,Half Moon Bay,4,2026-04-20,2026-04-13,2026-04-03,CA,True,1,Unknown,14441.0,3,False,3,Other,94019,576.0,14441.0,2026-04
"Carpet,Stone,Tile,Wood",True,False,False,False,455000.0,1108575440,2025-06-23,470000.0,34.624541,-117.83871299999998,16244 Valeport Avenue,Residential,1970.0,455000.0,29,Keller Williams Luxury,None,1108575440.0,LAC - Lancaster,Los Angeles,Closed,True,12,SingleFamilyResidence,0.9766,1985,16244.0,SR25053805,3,Lancaster,4,2025-06-23,2025-04-10,2025-03-11,CA,True,1,One,42539.0,4,False,2,Antelope Valley Union,93535,0.0,42539.0,2025-06
"Tile,Wood",False,False,False,False,1749000.0,1155189464,2026-04-14,2150000.0,34.165859000000005,-118.118165,1155 N Sierra Bonita Avenue,Residential,2520.0,1749000.0,11,Keller Williams Realty,None,1155189464.0,646 - Pasadena (NE),Los Angeles,Closed,False,2,SingleFamilyResidence,0.1779,1950,1155.0,P1-26252,4,Pasadena,4,2026-04-14,2026-03-24,2026-03-13,CA,True,2,Two,7750.0,2,False,2,Unknown,91104,0.0,7750.0,2026-04
Tile,False,False,False,False,1050000.0,1137216323,2025-11-03,1110000.0,33.619545,-117.742759,23601 Marsala,Residential,1120.0,1050000.0,11,First Team Real Estate,None,1137216323.0,S2 - Laguna Hills,Orange,Closed,True,2,SingleFamilyResidence,0.1212,1973,23601.0,OC25228596,2,Laguna Hills,3,2025-11-03,2025-11-03,2025-09-30,CA,True,1,One,5280.0,3,False,2,Saddleback Valley Unified,92653,0.0,5280.0,2025-11
Unknown,True,False,False,False,799900.0,1088753170,2024-10-31,860000.0,33.917621000000004,-117.982211,16328 Placid Drive,Residential,1483.0,799900.0,6,Keller Williams Realty,None,1088753170.0,699 - Not Defined,Los Angeles,Closed,True,2,SingleFamilyResidence,0.148,1962,16328.0,PW24199335,2,Whittier,3,2024-10-31,2024-10-01,2024-09-25,CA,True,1,One,6448.0,1,False,2,Lowell Joint Unified,90604,0.0,6448.0,2024-10
"Carpet,Tile,Wood",True,False,False,False,1299000.0,1075047686,2024-06-21,1275000.0,32.6646657,-117.0223381,4956 Golfglen Road,Residential,2164.0,1299000.0,7,Coldwell Banker West,None,1075047686.0,91902 - Bonita,San Diego,Closed,False,6,SingleFamilyResidence,0.5,1973,4956.0,240010248SD,2,Bonita,3,2024-06-21,2024-05-16,2024-05-09,CA,True,1,One,21780.0,3,False,3,Unknown,91902,0.0,21780.0,2024-06
Laminate,True,False,False,False,599000.0,1107668401,2025-03-28,605000.0,34.022313,-117.05583,12737 5th Street,Residential,1170.0,599000.0,0,EXP REALTY OF SOUTHERN CA. INC,None,1107668401.0,269 - Yucaipa/Calimesa/Oak Glen,San Bernardino,Closed,True,2,SingleFamilyResidence,0.4591,1952,12737.0,IG25039909,2,Yucaipa,3,2025-03-28,2025-02-22,2025-02-22,CA,True,1,One,20000.0,3,False,2,Yucaipa/Calimesa Unified,92399,0.0,20000.0,2025-03
"Carpet,Laminate,Tile",False,False,False,False,625000.0,1070770374,2024-12-30,563000.0,34.085545,-117.467081,9258 Elm Avenue,Residential,1316.0,549900.0,204,DYNASTY REAL ESTATE,None,1070770374.0,264 - Fontana,San Bernardino,Closed,False,0,SingleFamilyResidence,0.2562,1962,9258.0,CV24079523,2,Fontana,3,2024-12-30,2024-11-27,2024-04-21,CA,False,1,One,11160.0,3,False,0,Fontana Unified,92335,0.0,11160.0,2024-12
"Carpet,Laminate",False,False,False,False,399000.0,1103183366,2025-06-13,390000.0,38.01633704,-121.81942207,1018 W 3Rd St,Residential,914.0,389950.0,29,Better Homes/Jeff Mann&Assoc.,None,1103183366.0,Unknown,Contra Costa,Closed,False,0,SingleFamilyResidence,0.0861,1918,1018.0,41083245,1,Antioch,2,2025-06-13,2025-05-19,2025-01-22,CA,False,1,One,3750.0,3,False,0,Unknown,94509,0.0,3750.0,2025-06
"Carpet,Laminate",True,False,False,False,469900.0,1038556735,2023-08-01,460000.0,34.172419,-117.320872,1486 Indian,Residential,1176.0,469900.0,2,CENTURY 21 LOIS LAUER REALTY,None,1038556735.0,274 - San Bernardino,San Bernardino,Closed,True,2,SingleFamilyResidence,0.186,1979,1486.0,EV23112752,2,San Bernardino,3,2023-08-01,2023-06-26,2023-06-24,CA,True,1,One,8100.0,3,False,2,San Bernardino City Unified,92407,0.0,8100.0,2023-08
"Carpet,Vinyl",False,False,False,False,513490.0,1038400160,2023-08-16,513490.0,34.458332,-117.405066,11872 Calenda Court,Residential,2617.0,513490.0,25,D R Horton America's Builder,None,1038400160.0,VIC - Victorville,San Bernardino,Closed,True,2,SingleFamilyResidence,0.1662,2023,11872.0,SW23109115,4,Victorville,4,2023-08-16,2023-07-14,2023-06-19,CA,False,2,Two,7239.0,1,True,2,Snowline Joint Unified,92392,0.0,7239.0,2023-08
"Carpet,Laminate,Tile",False,False,False,False,675000.0,1109366479,2025-06-09,663500.0,37.74458985,-121.44870429,1741 Treehaven Lane,Residential,1785.0,668990.0,48,WR Properties,None,1109366479.0,Unknown,San Joaquin,Closed,True,3,SingleFamilyResidence,0.1469,2000,1741.0,41091157,2,Tracy,3,2025-06-09,2025-05-15,2025-03-28,CA,True,1,One,6400.0,3,False,3,Unknown,95376,0.0,6400.0,2025-06
"Tile,Wood",False,False,False,False,2195000.0,1089646481,2024-12-11,2145000.0,34.102734000000005,-118.35256499999998,1734 N Gardner Street,Residential,2210.0,2195000.0,63,The Agency,None,1089646481.0,C03 - Sunset Strip - Hollywood Hills West,Los Angeles,Closed,False,2,SingleFamilyResidence,0.142,1919,1734.0,24448173,3,Los Angeles,4,2024-12-11,2024-12-06,2024-10-04,CA,True,2,Two,6187.0,3,False,2,Unknown,90046,0.0,6187.0,2024-12
Unknown,False,False,False,False,1748888.0,1145806159,2025-12-17,1800000.0,37.3871285,-122.02566154,383 N Sunnyvale Avenue,Residential,1475.0,1748888.0,12,Realty ONE Group American,None,1145806159.0,699 - Not Defined,Santa Clara,Closed,True,2,SingleFamilyResidence,0.1659,1942,383.0,ML82026857,3,Sunnyvale,3,2025-12-17,2025-11-18,2025-11-06,CA,False,1,Unknown,7228.0,3,False,1,Other,94085,0.0,7228.0,2025-12
Unknown,True,False,True,False,1299000.0,1075891353,2025-02-24,1150000.0,33.783444,-118.304295,26303 President Avenue,Residential,1876.0,1199000.0,178,"David Shorter, Broker",None,1075891353.0,124 - Harbor City,Los Angeles,Closed,False,3,SingleFamilyResidence,0.2646,1934,26303.0,IN24109197,2,Harbor City,4,2025-02-24,2024-11-26,2024-05-28,CA,True,1,One,11528.0,3,False,3,Los Angeles Unified,90710,0.0,11528.0,2025-02
Tile,True,False,False,False,895000.0,1046933951,2024-02-06,911000.0,32.6322767,-117.0389305,833 Dale Ct,Residential,1696.0,895000.0,46,"Big Block Realty, Inc.",None,1046933951.0,91910 - Chula Vista,San Diego,Closed,False,6,SingleFamilyResidence,0.4017,1965,833.0,230022076SD,2,Chula Vista,3,2024-02-06,2023-12-30,2023-11-08,CA,False,1,One,17500.0,3,False,2,Unknown,91910,0.0,17500.0,2024-02
"Carpet,Laminate",False,False,False,False,1349000.0,1075678207,2024-07-05,1450000.0,37.5879365,-122.0780684,4522 Queen Anne Dr,Residential,1432.0,1349000.0,13,"Abdul Alim, Broker",None,1075678207.0,Unknown,Alameda,Closed,True,2,SingleFamilyResidence,0.1148,1970,4522.0,41060643,2,Union City,4,2024-07-05,2024-06-04,2024-05-22,CA,True,1,One,5000.0,3,False,2,Unknown,94587,0.0,5000.0,2024-07
Laminate,True,False,False,False,599999.0,1065015478,2024-05-03,607000.0,34.109471,-117.396859,1309 Folke Street,Residential,1240.0,599999.0,2,"KELLY DAVIDIAN, BROKER",None,1065015478.0,272 - Rialto,San Bernardino,Closed,False,2,SingleFamilyResidence,0.1816,1978,1309.0,CV24061848,2,Rialto,3,2024-05-03,2024-03-30,2024-03-28,CA,True,1,One,7912.0,3,False,2,Rialto Unified,92376,0.0,7912.0,2024-05
Unknown,True,False,False,False,299000.0,1055042449,2024-06-17,305000.0,33.9509689,-116.4803552,13475 Monterey Road,Residential,1260.0,288000.0,98,Re/Max Estate Properties,None,1055042449.0,340 - Desert Hot Springs,Riverside,Closed,True,4,SingleFamilyResidence,0.17,1979,13475.0,SB23225381,2,Desert Hot Springs,3,2024-06-17,2024-04-25,2024-01-11,CA,False,1,One,7405.0,3,False,2,Desert Center Unified,92240,0.0,7405.0,2024-06
"Carpet,Vinyl",False,False,False,False,1133000.0,1046494241,2023-12-06,1060640.0,37.68087,-122.0517736,23540 Maud Ave,Residential,2258.0,1133000.0,14,Century 21 Epic,None,1046494241.0,Unknown,Alameda,Closed,True,4,SingleFamilyResidence,0.13,1989,23540.0,41042890,3,Hayward,4,,2023-11-17,2023-11-03,CA,True,2,Two,5592.0,3,False,2,Unknown,94541,0.0,5592.0,2023-12
SeeRemarks,True,False,False,True,1699888.0,1076978373,2024-08-02,1777000.0,33.5152199,-117.7052419,10 Dion,Residential,2082.0,1699888.0,5,RE/MAX Select One,Monthly,1076978373.0,LNSLT - Salt Creek,Orange,Closed,True,2,SingleFamilyResidence,0.1012,1991,10.0,OC24130648,3,Laguna Niguel,4,2024-08-02,2024-07-10,2024-06-26,CA,True,2,Two,4410.0,0,False,2,Capistrano Unified,92677,205.0,4410.0,2024-08
Unknown,False,False,False,False,749000.0,1079007224,2024-10-11,723000.0,33.95618,-118.298298,1301 W 90th Street,Residential,1639.0,699000.0,41,Morningstar Rlty & Associates,None,1079007224.0,C36 - Metropolitan Southwest,Los Angeles,Closed,False,2,SingleFamilyResidence,0.1395,1929,1301.0,PW24157879,3,Los Angeles,4,2024-10-11,2024-09-20,2024-07-31,CA,False,1,One,6077.0,4,False,2,Los Angeles Unified,90044,0.0,6077.0,2024-10
Wood,True,False,False,False,1500000.0,1144582670,2025-11-12,1636888.0,37.38277729,-121.88406117,1475 Leaftree Circle,Residential,1333.0,1500000.0,8,Cornerstone Real Estate Services,None,1144582670.0,699 - Not Defined,Santa Clara,Closed,True,2,SingleFamilyResidence,0.1202,1993,1475.0,ML82025533,3,San Jose,3,2025-11-12,2025-10-31,2025-10-23,CA,True,1,Unknown,5238.0,3,False,2,Other,95131,0.0,5238.0,2025-11
"Carpet,Tile",False,False,False,False,974000.0,1119649571,2025-09-18,911086.0,37.7066435,-121.44632496,1600 White Rock Drive,Residential,2393.0,894995.0,30,"Toll Brothers Real Estate,Inc",Monthly,1119649571.0,Unknown,San Joaquin,Closed,True,2,SingleFamilyResidence,0.1698,2025,1600.0,41105340,3,Tracy,2,2025-09-18,2025-08-17,2025-07-18,CA,True,1,One,7397.0,3,False,2,Unknown,95377,375.0,7397.0,2025-09
Laminate,False,False,False,True,489000.0,1041402414,2023-09-07,494000.0,36.847311,-119.885177,5237 W Troy Avenue,Residential,1934.0,489000.0,0,Redwood Real Estate,None,1041402414.0,FSNO - Fresno,Fresno,Closed,True,2,SingleFamilyResidence,0.147,1998,5237.0,MC23152968,2,Fresno,3,2023-09-07,2023-08-16,2023-08-16,CA,True,1,One,6405.0,3,False,2,Central Unified,93722,0.0,6405.0,2023-09
Wood,True,False,False,False,680000.0,1038245613,2023-08-22,680000.0,33.997563,-118.293916,1100 W 50th Street,Residential,2134.0,680000.0,42,Renaissance Realty Group,None,1038245613.0,C34 - Los Angeles Southwest,Los Angeles,Closed,False,0,SingleFamilyResidence,0.1408,1915,1100.0,23280293,2,Los Angeles,5,2023-08-22,2023-07-23,2023-06-11,CA,True,2,Two,6135.0,3,False,2,Los Angeles Unified,90037,0.0,6135.0,2023-08
"Carpet,Vinyl",False,False,False,False,1400000.0,1081669636,2024-09-27,1515000.0,37.67876175,-121.880742,2162 Greenwood Rd,Residential,1540.0,1400000.0,6,Elation Real Estate,None,1081669636.0,Unknown,Alameda,Closed,True,2,SingleFamilyResidence,0.1567,1967,2162.0,41070744,2,Pleasanton,3,2024-09-27,2024-08-28,2024-08-22,CA,True,1,One,6825.0,3,False,2,Pleasanton,94566,0.0,6825.0,2024-09
Unknown,True,False,False,True,49500.0,1039701744,2023-08-17,495000.0,34.481475,-117.367838,13540 boxwood Lane,Residential,1873.0,495000.0,9,Classic Real Estate,None,1039701744.0,VIC - Victorville,San Bernardino,Closed,True,3,SingleFamilyResidence,0.1898,1992,13540.0,HD23123311,3,Victorville,4,2023-08-17,2023-07-19,2023-07-10,CA,True,2,Two,8268.0,0,False,3,Victor Valley Unified,92392,0.0,8268.0,2023-08
"Laminate,Tile",False,False,False,False,1079000.0,1114920246,2025-07-17,1110000.0,34.226364000000004,-118.460456,8557 Norwich Avenue,Residential,2729.0,1079000.0,21,"Beverly and Company, Inc.",None,1114920246.0,NOH - North Hills,Los Angeles,Closed,True,2,SingleFamilyResidence,0.1324,1980,8557.0,25548293,3,North Hills,4,2025-07-17,2025-06-25,2025-06-04,CA,True,2,Two,5767.0,3,False,2,Unknown,91343,0.0,5767.0,2025-07
Vinyl,True,False,False,False,1350000.0,1054055242,2024-02-05,1460000.0,33.534695,-117.701814,29482 Castle Road,Residential,2074.0,1500000.0,9,H & M Realty Group,Monthly,1054055242.0,LNLAK - Lake Area,Orange,Closed,True,2,SingleFamilyResidence,0.1374,1989,29482.0,IV24000329,3,Laguna Niguel,4,2024-02-05,2024-01-12,2024-01-02,CA,True,2,Two,5986.0,0,False,2,Capistrano Unified,92677,187.0,5986.0,2024-02
"Carpet,Tile",True,False,False,False,650000.0,1040860086,2023-10-03,630000.0,33.575861,-117.186848,39828 Grenada Corte,Residential,1778.0,630000.0,42,Jason Mitchell R. E. Calif,None,1040860086.0,SRCAR - Southwest Riverside County,Riverside,Closed,True,2,SingleFamilyResidence,0.16,1988,39828.0,SW23139160,3,Murrieta,4,2023-10-03,2023-09-14,2023-07-27,CA,True,2,Two,6970.0,0,False,2,Murrieta,92562,0.0,6970.0,2023-10
"Carpet,Wood",False,False,False,False,1120000.0,1111424655,2025-06-03,1094000.0,34.232674,-119.024767,3350 Canoga Place,Residential,2872.0,1120000.0,52,Real Brokerage Technologies,None,1111424655.0,VC41 - Camarillo Central,Ventura,Closed,False,2,SingleFamilyResidence,0.23,1978,3350.0,225001704,2,Camarillo,3,2025-06-03,2025-05-29,2025-04-07,CA,True,1,One,10018.0,3,False,2,Unknown,93010,0.0,10018.0,2025-06
"Carpet,Vinyl",True,False,False,False,424000.0,1132849728,2026-03-19,377000.0,33.928124,-116.685404,13435 Mesquite,Residential,1580.0,377000.0,146,Berkshire Hathaway Homeservices California Realty,None,1132849728.0,263 - Banning/Beaumont/Cherry Valley,Riverside,Closed,True,2,SingleFamilyResidence,0.36,2025,13435.0,IG25201466,2,Whitewater,4,2026-03-19,2026-01-31,2025-09-07,CA,False,1,One,15682.0,4,True,2,Banning Unified,92282,0.0,15682.0,2026-03
Unknown,True,False,False,False,1399900.0,1059331625,2024-04-09,1350000.0,33.1277616,-117.2341231,6075 Paseo Pradera,Residential,2269.0,1375000.0,31,American Real Estate Group,Monthly,1059331625.0,92009 - Carlsbad,San Diego,Closed,True,4,SingleFamilyResidence,0.1536,2002,6075.0,240001957SD,3,Carlsbad,4,2024-04-09,2024-02-25,2024-01-25,CA,False,2,Two,6691.0,3,False,2,Unknown,92009,115.0,6691.0,2024-04
